"id","experience_R","experience_datatable","usage_frequency","usage_context","usage_area","appreciate_most","biggest_challenges","desired_extra_functionality","satisfaction1_performance","satisfaction1_readability","satisfaction1_concise","satisfaction1_nonbreaking","satisfaction1_mindeps","satisfaction1_errors","satisfaction1_docs","importance_performance","importance_readability","importance_concise","importance_nonbreaking","importance_mindeps","importance_errors","importance_docs","satisfaction2_io","satisfaction2_filter","satisfaction2_reshape","satisfaction2_joins","satisfaction2_manip","pipe_helper_usefulness","walrus_alias","contribution_interest","contribution_areas_interest","contribution_areas_previous","contribution_easier","values_et_al","agreements_et_al","gov_docs_rolemodels","anything_else","responses_sharing"
258,"7+ years","7+ years","Every month","Professionally;","Data preparation;Statistical analysis;Machine learning;In production;","Smart, fast loading of CSV files. Fast, and concise syntax [i,j,by].","None really. Very happy with it.","Just started looking into Arrow / Parquet files. DuckDB is looking very interesting.","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Extremely important","Very important","Extremely important","Somewhat important","Important","Somewhat important","Important","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat satisfied","Somewhat useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;","Spreading the word about data.table;Giving talks/tutorials on data.table;","I'm not using data.table daily, like I did in 2015-2019, but I'm trying to get more of my Python friends to drop Pandas (so slow) in favor.","I can't comment on these as I haven't read the proposed guidance yet.","Same as above.","Not familiar with many.","I've never been so scared of losing a BDFL like Matt. He's done so much; I hope he's ok! data.table is the reason I love R.",NA
259,"7+ years","7+ years","Every week","Professionally;","Data preparation;Statistical analysis;In production;","speed","syntax","parallel processing - on-disk processing - handling parquet files","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Extremely important","Important","Very important","Important","Important","Very important","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;I'm not currently interested in contributing to data.table;","Spreading the word about data.table;Giving talks/tutorials on data.table;",NA,NA,NA,NA,NA,NA
260,"7+ years","4 - 7 years","Every month",NA,"Statistical analysis;Machine learning;Data preparation;","< masked >","< masked >","< masked >","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Important","Important","Important","Extremely important","Very satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Writing/editing documentation;","I haven't contributed to data.table yet;Spreading the word about data.table;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
261,"7+ years","7+ years","Every day","Professionally;Academic research;","Data preparation;Statistical analysis;","The performance and speed with which I can accomplish my data preparation. I'm also a big fan of the syntax, it's very concise once you get used to using it.","I struggle with the best ways to make references to columns using character vectors, I'm never clear on when it is okay to use the two dots method and when it is not.","At this point no, there hasn't been a thing I've wanted data.table to do that it couldn't!","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Extremely important","Extremely important","Extremely important","Very important","Very important","Important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","let (DT[, let(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;","I haven't contributed to data.table yet;","Nothing that comes to mind.","I'm not familiar enough with governance models to answer this.","I'm not familiar enough with governance models to answer this.","I'm not familiar enough with governance models to answer this.","I would like a hex sticker! or ten!",NA
262,"7+ years","2 - 4 years","Occasionally","Academic research;","Data preparation;As a dependency in my R package(s);Statistical analysis;","Speed","Remembering how to do things",NA,"Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Very important","Extremely important","Somewhat important","Extremely important","Somewhat important","Extremely important","Extremely important","Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;","Spreading the word about data.table;",NA,"Consistency",NA,NA,NA,NA
263,"7+ years","7+ years","Every day","Professionally;Side projects;","Data preparation;In production;","I love the concise yet fully-featured API, stability, economical use of memory, and speed","None of my co-workers use it","If possible, an easy parallelized `j` / `by` would be nice; would also love to see something similar to dbplyr that works with Arrow","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Somewhat satisfied","Extremely important","Extremely important","Extremely important","Extremely important","Extremely important","Somewhat important","Somewhat important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","Maybe","Submitting requests for new features;Giving talks/tutorials on data.table;Spreading the word about data.table;Writing/editing documentation;Reviewing R code;Submitting R code;","Spreading the word about data.table;","It would be nice to know that `data.table` will continue to be updated/maintained",NA,NA,NA,"Thank you to everyone who has made data.table great!",NA
264,"7+ years","4 - 7 years","Every day","Professionally;Side projects;","Data preparation;Statistical analysis;As a dependency in my R package(s);In Shiny apps;In production;","speed and memory-efficiency","complex reshaping of data, where tidyr::pivot_* currently have an advantage; dynamic meta/NSE programming","updated reshaping, nse/meta","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Extremely important","Extremely important","Very important","Extremely important","Extremely important","Very important","Extremely important","Very satisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Yes","Spreading the word about data.table;Reporting issues;Reviewing R code;Submitting R code;","Reporting issues;Submitting requests for new features;",NA,"stability is paramount; I think a slightly-faster agility would be very good, too",NA,NA,"appreciation for the current stability, speed, and efficiency",NA
265,"2 - 4 years","3 - 12 months","Every week","Professionally;","Data preparation;","< masked >","< masked >","< masked >","Very satisfied","Neither satisfied nor dissatisfied","Somewhat satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Extremely important","Extremely important","Important","Important","Important","Important","Important","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat satisfied","Somewhat useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","No","I'm not currently interested in contributing to data.table;","I haven't contributed to data.table yet;","< masked >","< masked >","< masked >","< masked >","< masked >","Only share my responses to open-ended questions in a summarized form"
266,"0 - 3 months","0 - 3 months","Every day",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,"2 - 4 years","12 - 24 months","Every month","Professionally;Academic research;As a student;","Data preparation;Machine learning;","Speed is unmatched. Love interface to dplyr.","Strong learning curve for synax.",NA,"Very satisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Extremely important","Extremely important","Somewhat important","Somewhat important","Not important at all","Very important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very useful to me","set (DT[, set(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Donating financially;","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
268,"7+ years","7+ years","Every day","Academic research;Professionally;","Data preparation;Statistical analysis;","speed and concise syntax","sharing code with others not familiar with the syntax",NA,"Very satisfied","Somewhat satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Extremely important","Somewhat important","Very important","Extremely important","Somewhat important","Very important","Extremely important","Very satisfied","Very satisfied","Very satisfied","Somewhat satisfied","Very satisfied","Somewhat useful to me","setj (DT[, setj(new1 = sum(colB), new2 = sum(colC))])","Maybe","Spreading the word about data.table;Giving talks/tutorials on data.table;Reporting issues;Submitting requests for new features;","Spreading the word about data.table;",NA,NA,NA,NA,NA,NA
